country,date,confirmed,deaths,recovered
Kuwait,1/22/20,0,0,0
Kuwait,1/23/20,0,0,0
Kuwait,1/24/20,0,0,0
Kuwait,1/25/20,0,0,0
Kuwait,1/26/20,0,0,0
Kuwait,1/27/20,0,0,0
Kuwait,1/28/20,0,0,0
Kuwait,1/29/20,0,0,0
Kuwait,1/30/20,0,0,0
Kuwait,1/31/20,0,0,0
Kuwait,2/1/20,0,0,0
Kuwait,2/2/20,0,0,0
Kuwait,2/3/20,0,0,0
Kuwait,2/4/20,0,0,0
Kuwait,2/5/20,0,0,0
Kuwait,2/6/20,0,0,0
Kuwait,2/7/20,0,0,0
Kuwait,2/8/20,0,0,0
Kuwait,2/9/20,0,0,0
Kuwait,2/10/20,0,0,0
Kuwait,2/11/20,0,0,0
Kuwait,2/12/20,0,0,0
Kuwait,2/13/20,0,0,0
Kuwait,2/14/20,0,0,0
Kuwait,2/15/20,0,0,0
Kuwait,2/16/20,0,0,0
Kuwait,2/17/20,0,0,0
Kuwait,2/18/20,0,0,0
Kuwait,2/19/20,0,0,0
Kuwait,2/20/20,0,0,0
Kuwait,2/21/20,0,0,0
Kuwait,2/22/20,0,0,0
Kuwait,2/23/20,0,0,0
Kuwait,2/24/20,1,0,0
Kuwait,2/25/20,11,0,0
Kuwait,2/26/20,26,0,0
Kuwait,2/27/20,43,0,0
Kuwait,2/28/20,45,0,0
Kuwait,2/29/20,45,0,0
Kuwait,3/1/20,45,0,0
Kuwait,3/2/20,56,0,0
Kuwait,3/3/20,56,0,0
Kuwait,3/4/20,56,0,0
Kuwait,3/5/20,58,0,0
Kuwait,3/6/20,58,0,0
Kuwait,3/7/20,61,0,0
Kuwait,3/8/20,64,0,1
Kuwait,3/9/20,64,0,1
Kuwait,3/10/20,69,0,1
Kuwait,3/11/20,72,0,2
Kuwait,3/12/20,80,0,5
Kuwait,3/13/20,80,0,5
Kuwait,3/14/20,104,0,5
Kuwait,3/15/20,112,0,5
Kuwait,3/16/20,123,0,9
Kuwait,3/17/20,130,0,9
Kuwait,3/18/20,142,0,15
Kuwait,3/19/20,148,0,18
Kuwait,3/20/20,159,0,18
