country,date,confirmed,deaths,recovered
Bhutan,1/22/20,0,0,0
Bhutan,1/23/20,0,0,0
Bhutan,1/24/20,0,0,0
Bhutan,1/25/20,0,0,0
Bhutan,1/26/20,0,0,0
Bhutan,1/27/20,0,0,0
Bhutan,1/28/20,0,0,0
Bhutan,1/29/20,0,0,0
Bhutan,1/30/20,0,0,0
Bhutan,1/31/20,0,0,0
Bhutan,2/1/20,0,0,0
Bhutan,2/2/20,0,0,0
Bhutan,2/3/20,0,0,0
Bhutan,2/4/20,0,0,0
Bhutan,2/5/20,0,0,0
Bhutan,2/6/20,0,0,0
Bhutan,2/7/20,0,0,0
Bhutan,2/8/20,0,0,0
Bhutan,2/9/20,0,0,0
Bhutan,2/10/20,0,0,0
Bhutan,2/11/20,0,0,0
Bhutan,2/12/20,0,0,0
Bhutan,2/13/20,0,0,0
Bhutan,2/14/20,0,0,0
Bhutan,2/15/20,0,0,0
Bhutan,2/16/20,0,0,0
Bhutan,2/17/20,0,0,0
Bhutan,2/18/20,0,0,0
Bhutan,2/19/20,0,0,0
Bhutan,2/20/20,0,0,0
Bhutan,2/21/20,0,0,0
Bhutan,2/22/20,0,0,0
Bhutan,2/23/20,0,0,0
Bhutan,2/24/20,0,0,0
Bhutan,2/25/20,0,0,0
Bhutan,2/26/20,0,0,0
Bhutan,2/27/20,0,0,0
Bhutan,2/28/20,0,0,0
Bhutan,2/29/20,0,0,0
Bhutan,3/1/20,0,0,0
Bhutan,3/2/20,0,0,0
Bhutan,3/3/20,0,0,0
Bhutan,3/4/20,0,0,0
Bhutan,3/5/20,0,0,0
Bhutan,3/6/20,1,0,0
Bhutan,3/7/20,1,0,0
Bhutan,3/8/20,1,0,0
Bhutan,3/9/20,1,0,0
Bhutan,3/10/20,1,0,0
Bhutan,3/11/20,1,0,0
Bhutan,3/12/20,1,0,0
Bhutan,3/13/20,1,0,0
Bhutan,3/14/20,1,0,0
Bhutan,3/15/20,1,0,0
Bhutan,3/16/20,1,0,0
Bhutan,3/17/20,1,0,0
Bhutan,3/18/20,1,0,0
Bhutan,3/19/20,1,0,0
Bhutan,3/20/20,2,0,0
